County;Population
Buena Vista, Iowa;19620,00
Butler, Iowa;14439,00
Calhoun, Iowa;9668,00
Carroll, Iowa;20165,00
Cass, Iowa;12836,00
Cedar, Iowa;18627,00
Cerro Gordo, Iowa;42450,00
Cherokee, Iowa;11235,00
Chickasaw, Iowa;11933,00
Clarke, Iowa;9395,00
Clay, Iowa;16016,00
Clayton, Iowa;17549,00
Clinton, Iowa;46429,00
Crawford, Iowa;16820,00
Dallas, Iowa;93453,00
Davis, Iowa;9000,00
Decatur, Iowa;7870,00
Delaware, Iowa;17011,00
Des Moines, Iowa;38967,00
Dickinson, Iowa;17258,00
Dubuque, Iowa;97311,00
Emmet, Iowa;9208,00
Fayette, Iowa;19650,00
Floyd, Iowa;15642,00
Franklin, Iowa;10070,00
Fremont, Iowa;6960,00
Greene, Iowa;8888,00
Grundy, Iowa;12232,00
Guthrie, Iowa;10689,00
Hamilton, Iowa;14773,00
Hancock, Iowa;10630,00
Hardin, Iowa;16846,00
Harrison, Iowa;14049,00
Henry, Iowa;19954,00
Howard, Iowa;9158,00
Humboldt, Iowa;9558,00
Ida, Iowa;6860,00
Iowa, Iowa;16184,00
Jackson, Iowa;19439,00
Jasper, Iowa;37185,00
Jefferson, Iowa;18295,00
Johnson, Iowa;151140,00
Jones, Iowa;20681,00
Keokuk, Iowa;10246,00
Kossuth, Iowa;14813,00
Lee, Iowa;33657,00
Linn, Iowa;226706,00
Louisa, Iowa;11035,00
Lucas, Iowa;8600,00
Lyon, Iowa;11755,00
Madison, Iowa;16338,00
Mahaska, Iowa;22095,00
Marion, Iowa;33253,00
Marshall, Iowa;39369,00
Mills, Iowa;15109,00
Mitchell, Iowa;10586,00
Monona, Iowa;8615,00
Monroe, Iowa;7707,00
Montgomery, Iowa;9917,00
Muscatine, Iowa;42664,00
O'Brien, Iowa;13753,00
Osceola, Iowa;5958,00
Page, Iowa;15107,00
Palo Alto, Iowa;8886,00
Plymouth, Iowa;25177,00
Pocahontas, Iowa;6619,00
Polk, Iowa;490161,00
Pottawattamie, Iowa;93206,00
Poweshiek, Iowa;18504,00
Ringgold, Iowa;4894,00
Sac, Iowa;9721,00
Scott, Iowa;172943,00
Shelby, Iowa;11454,00
Sioux, Iowa;34855,00
Story, Iowa;97117,00
Tama, Iowa;16854,00
Taylor, Iowa;6121,00
Union, Iowa;12241,00
Van Buren, Iowa;7044,00
Wapello, Iowa;34969,00
Warren, Iowa;51466,00
Washington, Iowa;21965,00
Wayne, Iowa;6441,00
Webster, Iowa;35904,00
Winnebago, Iowa;10354,00
Winneshiek, Iowa;19991,00
Woodbury, Iowa;103107,00
Worth, Iowa;7381,00
Wright, Iowa;12562,00
Allen, Kansas;12369,00
Anderson, Kansas;7858,00
Atchison, Kansas;16073,00
Barber, Kansas;4427,00
Barton, Kansas;25779,00
Bourbon, Kansas;14534,00
Brown, Kansas;9564,00
Butler, Kansas;66911,00
Chase, Kansas;2648,00
Chautauqua, Kansas;3250,00
Cherokee, Kansas;19939,00
Cheyenne, Kansas;2657,00
Clark, Kansas;1994,00
Clay, Kansas;8002,00
Cloud, Kansas;8786,00
Coffey, Kansas;8179,00
Comanche, Kansas;1700,00
Cowley, Kansas;34908,00
Crawford, Kansas;38818,00
Decatur, Kansas;2827,00
Dickinson, Kansas;18466,00
Doniphan, Kansas;7600,00
Douglas, Kansas;122259,00
Edwards, Kansas;2798,00
Elk, Kansas;2530,00
Ellis, Kansas;28553,00
Ellsworth, Kansas;6102,00
Finney, Kansas;36467,00
Ford, Kansas;33619,00
Franklin, Kansas;25544,00
Geary, Kansas;31670,00
Gove, Kansas;2636,00
Graham, Kansas;2482,00
Grant, Kansas;7150,00
Gray, Kansas;5988,00
Greeley, Kansas;1232,00
Greenwood, Kansas;5982,00
Hamilton, Kansas;2539,00
Harper, Kansas;5436,00
Harvey, Kansas;34429,00
Haskell, Kansas;3968,00
Hodgeman, Kansas;1794,00
Jackson, Kansas;13171,00
Jefferson, Kansas;19043,00
Jewell, Kansas;2879,00
Johnson, Kansas;602401,00
Kearny, Kansas;3838,00
Kingman, Kansas;7152,00
Kiowa, Kansas;2475,00
Labette, Kansas;19618,00
Lane, Kansas;1535,00
Leavenworth, Kansas;81758,00
Lincoln, Kansas;2962,00
Linn, Kansas;9703,00
Logan, Kansas;2794,00
Lyon, Kansas;33195,00
McPherson, Kansas;28542,00
Marion, Kansas;11884,00
Marshall, Kansas;9707,00
Meade, Kansas;4033,00
Miami, Kansas;34237,00
Mitchell, Kansas;5979,00
Montgomery, Kansas;31829,00
Morris, Kansas;5620,00
Morton, Kansas;2587,00
Nemaha, Kansas;10231,00
Neosho, Kansas;16007,00
Ness, Kansas;2750,00
Norton, Kansas;5361,00
Osage, Kansas;15949,00
Osborne, Kansas;3421,00
Ottawa, Kansas;5704,00
Pawnee, Kansas;6414,00
Phillips, Kansas;5234,00
Pottawatomie, Kansas;24383,00
Pratt, Kansas;9164,00
Rawlins, Kansas;2530,00
Reno, Kansas;61998,00
Republic, Kansas;4636,00
Rice, Kansas;9537,00
Riley, Kansas;74232,00
Rooks, Kansas;4920,00
Rush, Kansas;3036,00
Russell, Kansas;6856,00
Saline, Kansas;54224,00
Scott, Kansas;4823,00
Sedgwick, Kansas;516042,00
Seward, Kansas;21428,00
Shawnee, Kansas;176875,00
Sheridan, Kansas;2521,00
Sherman, Kansas;5917,00
Smith, Kansas;3583,00
Stafford, Kansas;4156,00
Stanton, Kansas;2006,00
Stevens, Kansas;5485,00
Sumner, Kansas;22836,00
Thomas, Kansas;7777,00
Trego, Kansas;2803,00
Wabaunsee, Kansas;6931,00
Wallace, Kansas;1518,00
Washington, Kansas;5406,00
Wichita, Kansas;2119,00
Wilson, Kansas;8525,00
Woodson, Kansas;3138,00
Wyandotte, Kansas;165429,00
Adair, Kentucky;19202,00
Allen, Kentucky;21315,00
Anderson, Kentucky;22747,00
Ballard, Kentucky;7888,00
Barren, Kentucky;44249,00
Bath, Kentucky;12500,00
Bell, Kentucky;26032,00
Boone, Kentucky;133581,00
Bourbon, Kentucky;19788,00
Boyd, Kentucky;46718,00
Boyle, Kentucky;30060,00
Bracken, Kentucky;8303,00
Breathitt, Kentucky;12630,00
Breckinridge, Kentucky;20477,00
Bullitt, Kentucky;81676,00
Butler, Kentucky;12879,00
Caldwell, Kentucky;12747,00
Calloway, Kentucky;39001,00
Campbell, Kentucky;93584,00
Carlisle, Kentucky;4760,00
Carroll, Kentucky;10631,00
Carter, Kentucky;26797,00
Casey, Kentucky;16159,00
Christian, Kentucky;70461,00
Clark, Kentucky;36263,00
Clay, Kentucky;19901,00
Clinton, Kentucky;10218,00
Crittenden, Kentucky;8806,00
Cumberland, Kentucky;6614,00
Daviess, Kentucky;101511,00
Edmonson, Kentucky;12150,00
Elliott, Kentucky;7517,00
Estill, Kentucky;14106,00
Fayette, Kentucky;323152,00
Fleming, Kentucky;14581,00
Floyd, Kentucky;35589,00
Franklin, Kentucky;50991,00
Fulton, Kentucky;5969,00
Gallatin, Kentucky;8869,00
Garrard, Kentucky;17666,00
Grant, Kentucky;25069,00
Graves, Kentucky;37266,00
Grayson, Kentucky;26427,00
Green, Kentucky;10941,00
Greenup, Kentucky;35098,00
Hancock, Kentucky;8722,00
Hardin, Kentucky;110958,00
Harlan, Kentucky;26010,00
Harrison, Kentucky;18886,00
Hart, Kentucky;19035,00
Henderson, Kentucky;45210,00
Henry, Kentucky;16126,00
Hickman, Kentucky;4380,00
Hopkins, Kentucky;44686,00
Jackson, Kentucky;13329,00
Jefferson, Kentucky;766757,00
Jessamine, Kentucky;54115,00
Johnson, Kentucky;22188,00
Kenton, Kentucky;166998,00
Knott, Kentucky;14806,00
Knox, Kentucky;31145,00
Larue, Kentucky;14398,00
Laurel, Kentucky;60813,00
Lawrence, Kentucky;15317,00
Lee, Kentucky;7403,00
Leslie, Kentucky;9877,00
Letcher, Kentucky;21553,00
Lewis, Kentucky;13275,00
Lincoln, Kentucky;24549,00
Livingston, Kentucky;9194,00
Logan, Kentucky;27102,00
Lyon, Kentucky;8210,00
McCracken, Kentucky;65418,00
McCreary, Kentucky;17231,00
McLean, Kentucky;9207,00
Madison, Kentucky;92987,00
Magoffin, Kentucky;12161,00
Marion, Kentucky;19273,00
Marshall, Kentucky;31100,00
Martin, Kentucky;11195,00
Mason, Kentucky;17070,00
Meade, Kentucky;28572,00
Menifee, Kentucky;6489,00
Mercer, Kentucky;21933,00
Metcalfe, Kentucky;10071,00
Monroe, Kentucky;10650,00
Montgomery, Kentucky;28157,00
Morgan, Kentucky;13309,00
Muhlenberg, Kentucky;30622,00
Nelson, Kentucky;46233,00
Nicholas, Kentucky;7269,00
Ohio, Kentucky;23994,00
Oldham, Kentucky;66799,00
Owen, Kentucky;10901,00
Owsley, Kentucky;4415,00
Pendleton, Kentucky;14590,00
Perry, Kentucky;25758,00
Pike, Kentucky;57876,00
Powell, Kentucky;12359,00
Pulaski, Kentucky;64979,00
Robertson, Kentucky;2108,00
Rockcastle, Kentucky;16695,00
Rowan, Kentucky;24460,00
Russell, Kentucky;17923,00
Scott, Kentucky;57004,00
Shelby, Kentucky;49024,00
Simpson, Kentucky;18572,00
Spencer, Kentucky;19351,00
Taylor, Kentucky;25769,00
Todd, Kentucky;12294,00
Trigg, Kentucky;14651,00
Trimble, Kentucky;8471,00
Union, Kentucky;14381,00
Warren, Kentucky;132896,00
Washington, Kentucky;12095,00
Wayne, Kentucky;20333,00
Webster, Kentucky;12942,00
Whitley, Kentucky;36264,00
Wolfe, Kentucky;7157,00
Woodford, Kentucky;26734,00
Acadia Parish, Louisiana;62045,00
Allen Parish, Louisiana;25627,00
Ascension Parish, Louisiana;126604,00
Assumption Parish, Louisiana;21891,00
Avoyelles Parish, Louisiana;40144,00
Beauregard Parish, Louisiana;37497,00
Bienville Parish, Louisiana;13241,00
Bossier Parish, Louisiana;127039,00
Caddo Parish, Louisiana;240204,00
Calcasieu Parish, Louisiana;203436,00
Caldwell Parish, Louisiana;9918,00
Cameron Parish, Louisiana;6973,00
Catahoula Parish, Louisiana;9494,00
Claiborne Parish, Louisiana;15670,00
Concordia Parish, Louisiana;19259,00
De Soto Parish, Louisiana;27463,00
East Baton Rouge Parish, Louisiana;440059,00
East Carroll Parish, Louisiana;6861,00
East Feliciana Parish, Louisiana;19135,00
Evangeline Parish, Louisiana;33395,00
Franklin Parish, Louisiana;20015,00
Grant Parish, Louisiana;22389,00
Iberia Parish, Louisiana;69830,00
Iberville Parish, Louisiana;32511,00
Jackson Parish, Louisiana;15744,00
Jefferson Parish, Louisiana;432493,00
Jefferson Davis Parish, Louisiana;31368,00
Lafayette Parish, Louisiana;244390,00
Lafourche Parish, Louisiana;97614,00
LaSalle Parish, Louisiana;14892,00
Lincoln Parish, Louisiana;46742,00
Livingston Parish, Louisiana;140789,00
Madison Parish, Louisiana;10951,00
Morehouse Parish, Louisiana;24874,00
Natchitoches Parish, Louisiana;38158,00
Orleans Parish, Louisiana;390144,00
Ouachita Parish, Louisiana;153279,00
Plaquemines Parish, Louisiana;23197,00
Pointe Coupee Parish, Louisiana;21730,00
Rapides Parish, Louisiana;129648,00
Red River Parish, Louisiana;8442,00
Richland Parish, Louisiana;20122,00
Sabine Parish, Louisiana;23884,00
St Bernard Parish, Louisiana;47244,00
St Charles Parish, Louisiana;53100,00
St Helena Parish, Louisiana;10132,00
St James Parish, Louisiana;21096,00
St John the Baptist Parish, Louisiana;42837,00
St Landry Parish, Louisiana;82124,00
St Martin Parish, Louisiana;53431,00
St Mary Parish, Louisiana;49348,00
St Tammany Parish, Louisiana;260419,00
Tangipahoa Parish, Louisiana;134758,00
Tensas Parish, Louisiana;4334,00
Terrebonne Parish, Louisiana;110461,00
Union Parish, Louisiana;22108,00
Vermilion Parish, Louisiana;59511,00
Vernon Parish, Louisiana;47429,00
Washington Parish, Louisiana;46194,00
Webster Parish, Louisiana;38340,00
West Baton Rouge Parish, Louisiana;26465,00
West Carroll Parish, Louisiana;10830,00
West Feliciana Parish, Louisiana;15568,00
Winn Parish, Louisiana;13904,00
Androscoggin, Maine;108277,00
Aroostook, Maine;67055,00
Cumberland, Maine;295003,00
Franklin, Maine;30199,00
Hancock, Maine;54987,00
Kennebec, Maine;122302,00
Knox, Maine;39772,00
Lincoln, Maine;34634,00
Oxford, Maine;57975,00
Penobscot, Maine;152148,00
Piscataquis, Maine;16785,00
Sagadahoc, Maine;35856,00
Somerset, Maine;50484,00
Waldo, Maine;39715,00
Washington, Maine;31379,00
York, Maine;207641,00
Allegany, Maryland;70416,00
Anne Arundel, Maryland;579234,00
Baltimore, Maryland;827370,00
Calvert, Maryland;92525,00
Caroline, Maryland;33406,00
Carroll, Maryland;168447,00
Cecil, Maryland;102855,00
Charles, Maryland;163257,00
Dorchester, Maryland;31929,00
Frederick, Maryland;259547,00
Garrett, Maryland;29014,00
Harford, Maryland;255441,00
Howard, Maryland;325690,00
Kent, Maryland;19422,00
Montgomery, Maryland;1050688,00
Prince George's, Maryland;909327,00
Queen Anne's, Maryland;50381,00
St Mary's, Maryland;113510,00
Somerset, Maryland;25616,00
Talbot, Maryland;37181,00
Washington, Maryland;151049,00
Wicomico, Maryland;103609,00
Worcester, Maryland;52276,00
Baltimore city, Maryland;593490,00
Barnstable, Massachusetts;212990,00
Berkshire, Massachusetts;124944,00
Bristol, Massachusetts;565217,00
Dukes, Massachusetts;17332,00
Essex, Massachusetts;789034,00
Franklin, Massachusetts;70180,00
Hampden, Massachusetts;466372,00
Hampshire, Massachusetts;160830,00
Middlesex, Massachusetts;1611699,00
Nantucket, Massachusetts;11399,00
Norfolk, Massachusetts;706775,00
Plymouth, Massachusetts;521202,00
Suffolk, Massachusetts;803907,00
Worcester, Massachusetts;830622,00
Alcona, Michigan;10405,00
Alger, Michigan;9108,00
Allegan, Michigan;118081,00
Alpena, Michigan;28405,00
Antrim, Michigan;23324,00
Arenac, Michigan;14883,00
Baraga, Michigan;8209,00
Barry, Michigan;61550,00
Bay, Michigan;103126,00
Benzie, Michigan;17766,00
Berrien, Michigan;153401,00
Branch, Michigan;43517,00
Calhoun, Michigan;134159,00
Cass, Michigan;51787,00
Charlevoix, Michigan;26143,00
Cheboygan, Michigan;25276,00
Chippewa, Michigan;37349,00
Clare, Michigan;30950,00
Clinton, Michigan;79595,00
Crawford, Michigan;14029,00
Delta, Michigan;35784,00
Dickinson, Michigan;25239,00
Eaton, Michigan;110268,00
Emmet, Michigan;33415,00
Genesee, Michigan;405813,00
Gladwin, Michigan;25449,00
Gogebic, Michigan;13975,00
Grand Traverse, Michigan;93088,00
Gratiot, Michigan;40711,00
Hillsdale, Michigan;45605,00
Houghton, Michigan;35684,00
Huron, Michigan;30981,00
Ingham, Michigan;292406,00
Ionia, Michigan;64697,00
Iosco, Michigan;25127,00
Iron, Michigan;11066,00
Isabella, Michigan;69872,00
Jackson, Michigan;158510,00
Kalamazoo, Michigan;265066,00
Kalkaska, Michigan;18038,00
Kent, Michigan;656955,00
Keweenaw, Michigan;2116,00
Lake, Michigan;11853,00
Lapeer, Michigan;87607,00
Leelanau, Michigan;21761,00
Lenawee, Michigan;98451,00
Livingston, Michigan;191995,00
Luce, Michigan;6229,00
Mackinac, Michigan;10799,00
Macomb, Michigan;873972,00
Manistee, Michigan;24558,00
Marquette, Michigan;66699,00
Mason, Michigan;29144,00
Mecosta, Michigan;43453,00
Menominee, Michigan;22780,00
Midland, Michigan;83156,00
Missaukee, Michigan;15118,00
Monroe, Michigan;150500,00
Montcalm, Michigan;63888,00
Montmorency, Michigan;9328,00
Muskegon, Michigan;173566,00
Newaygo, Michigan;48980,00
Oakland, Michigan;1257584,00
Oceana, Michigan;26467,00
Ogemaw, Michigan;20997,00
Ontonagon, Michigan;5720,00
Osceola, Michigan;23460,00
Oscoda, Michigan;8241,00
Otsego, Michigan;24668,00
Ottawa, Michigan;291830,00
Presque Isle, Michigan;12592,00
Roscommon, Michigan;24019,00
Saginaw, Michigan;190539,00
St Clair, Michigan;159128,00
St Joseph, Michigan;60964,00
Sanilac, Michigan;41170,00
Schoolcraft, Michigan;8094,00
Shiawassee, Michigan;68122,00
Tuscola, Michigan;52245,00
Van Buren, Michigan;75677,00
Washtenaw, Michigan;367601,00
Wayne, Michigan;1749343,00
Wexford, Michigan;33631,00
Aitkin, Minnesota;15886,00
Anoka, Minnesota;356921,00
Becker, Minnesota;34423,00
Beltrami, Minnesota;47188,00
Benton, Minnesota;40889,00
Big Stone, Minnesota;4991,00
Blue Earth, Minnesota;67653,00
Brown, Minnesota;25008,00
Carlton, Minnesota;35871,00
Carver, Minnesota;105089,00
Cass, Minnesota;29779,00
Chippewa, Minnesota;11800,00
Chisago, Minnesota;56579,00
Clay, Minnesota;64222,00
Clearwater, Minnesota;8818,00
Cook, Minnesota;5463,00
Cottonwood, Minnesota;11196,00
Crow Wing, Minnesota;65055,00
Dakota, Minnesota;429021,00
Dodge, Minnesota;20934,00
Douglas, Minnesota;38141,00
Faribault, Minnesota;13653,00
Fillmore, Minnesota;21067,00
Freeborn, Minnesota;30281,00
Goodhue, Minnesota;46340,00
Grant, Minnesota;5972,00
Hennepin, Minnesota;1265843,00
Houston, Minnesota;18600,00
Hubbard, Minnesota;21491,00
Isanti, Minnesota;40596,00
Itasca, Minnesota;45130,00
Jackson, Minnesota;9846,00
Kanabec, Minnesota;16337,00
Kandiyohi, Minnesota;43199,00
Kittson, Minnesota;4298,00
Koochiching, Minnesota;12229,00
Lac qui Parle, Minnesota;6623,00
Lake, Minnesota;10641,00
Lake of the Woods, Minnesota;3740,00
Le Sueur, Minnesota;28887,00
Lincoln, Minnesota;5639,00
Lyon, Minnesota;25474,00
McLeod, Minnesota;35893,00
Mahnomen, Minnesota;5527,00
Marshall, Minnesota;9336,00
Martin, Minnesota;19683,00
Meeker, Minnesota;23222,00
Mille Lacs, Minnesota;26277,00
Morrison, Minnesota;33386,00
Mower, Minnesota;40062,00
Murray, Minnesota;8194,00
Nicollet, Minnesota;34274,00
Nobles, Minnesota;21629,00
Norman, Minnesota;6375,00
Olmsted, Minnesota;158293,00
Otter Tail, Minnesota;58746,00
Pennington, Minnesota;14119,00
Pine, Minnesota;29579,00
Pipestone, Minnesota;9126,00
Polk, Minnesota;31364,00
Pope, Minnesota;11249,00
Ramsey, Minnesota;550321,00
Red Lake, Minnesota;4055,00
Redwood, Minnesota;15170,00
Renville, Minnesota;14548,00
Rice, Minnesota;66972,00
Rock, Minnesota;9315,00
Roseau, Minnesota;15165,00
St Louis, Minnesota;199070,00
Scott, Minnesota;149013,00
Sherburne, Minnesota;97238,00
Sibley, Minnesota;14865,00
Stearns, Minnesota;161075,00
Steele, Minnesota;36649,00
Stevens, Minnesota;9805,00
Swift, Minnesota;9266,00
Todd, Minnesota;24664,00
Traverse, Minnesota;3259,00
Wabasha, Minnesota;21627,00
Wadena, Minnesota;13682,00
Waseca, Minnesota;18612,00
Washington, Minnesota;262440,00
Watonwan, Minnesota;10897,00
Wilkin, Minnesota;6207,00
Winona, Minnesota;50484,00
Wright, Minnesota;138377,00
Yellow Medicine, Minnesota;9709,00
Adams, Mississippi;30693,00
Alcorn, Mississippi;36953,00
Amite, Mississippi;12297,00
Attala, Mississippi;18174,00
Benton, Mississippi;8259,00
Bolivar, Mississippi;30628,00
Calhoun, Mississippi;14361,00
Carroll, Mississippi;9947,00
Chickasaw, Mississippi;17103,00
Choctaw, Mississippi;8210,00
Claiborne, Mississippi;8988,00
Clarke, Mississippi;15541,00
Clay, Mississippi;19316,00
Coahoma, Mississippi;22124,00
Copiah, Mississippi;28065,00
Covington, Mississippi;18636,00
DeSoto, Mississippi;184945,00
Forrest, Mississippi;74897,00
Franklin, Mississippi;7713,00
George, Mississippi;24500,00
Greene, Mississippi;13586,00
Grenada, Mississippi;20758,00
Hancock, Mississippi;47632,00
Harrison, Mississippi;208080,00
Hinds, Mississippi;231840,00
Holmes, Mississippi;17010,00
Humphreys, Mississippi;8064,00
Issaquena, Mississippi;1327,00
Itawamba, Mississippi;23390,00
Jackson, Mississippi;143617,00
Jasper, Mississippi;16383,00
Jefferson, Mississippi;6990,00
Jefferson Davis, Mississippi;11128,00
Jones, Mississippi;68098,00
Kemper, Mississippi;9742,00
Lafayette, Mississippi;54019,00
Lamar, Mississippi;63343,00
Lauderdale, Mississippi;74125,00
Lawrence, Mississippi;12586,00
Leake, Mississippi;22786,00
Lee, Mississippi;85436,00
Leflore, Mississippi;28183,00
Lincoln, Mississippi;34153,00
Lowndes, Mississippi;58595,00
Madison, Mississippi;106272,00
Marion, Mississippi;24573,00
Marshall, Mississippi;35294,00
Monroe, Mississippi;35252,00
Montgomery, Mississippi;9775,00
Neshoba, Mississippi;29118,00
Newton, Mississippi;21018,00
Noxubee, Mississippi;10417,00
Oktibbeha, Mississippi;49587,00
Panola, Mississippi;34192,00
Pearl River, Mississippi;55535,00
Perry, Mississippi;11973,00
Pike, Mississippi;39288,00
Pontotoc, Mississippi;32174,00
Prentiss, Mississippi;25126,00
Quitman, Mississippi;6792,00
Rankin, Mississippi;155271,00
Scott, Mississippi;28124,00
Sharkey, Mississippi;4321,00
Simpson, Mississippi;26658,00
Smith, Mississippi;15916,00
Stone, Mississippi;18336,00
Sunflower, Mississippi;25110,00
Tallahatchie, Mississippi;13809,00
Tate, Mississippi;28321,00
Tippah, Mississippi;22015,00
Tishomingo, Mississippi;19383,00
Tunica, Mississippi;9632,00
Union, Mississippi;28815,00
Walthall, Mississippi;14286,00
Warren, Mississippi;45381,00
Washington, Mississippi;43909,00
Wayne, Mississippi;20183,00
Webster, Mississippi;9689,00
Wilkinson, Mississippi;8630,00
Winston, Mississippi;17955,00
Yalobusha, Mississippi;12108,00
Yazoo, Mississippi;29690,00
Adair, Missouri;25343,00
Andrew, Missouri;17712,00
Atchison, Missouri;5143,00
Audrain, Missouri;25388,00
Barry, Missouri;35789,00
Barton, Missouri;11754,00
Bates, Missouri;16172,00
Benton, Missouri;19443,00
Bollinger, Missouri;12133,00
Boone, Missouri;180463,00
Buchanan, Missouri;87364,00
Butler, Missouri;42478,00
Caldwell, Missouri;9020,00
Callaway, Missouri;44743,00
Camden, Missouri;46305,00
Cape Girardeau, Missouri;78871,00
Carroll, Missouri;8679,00
Carter, Missouri;5982,00
Cass, Missouri;105780,00
Cedar, Missouri;14349,00
Chariton, Missouri;7426,00
Christian, Missouri;88595,00
Clark, Missouri;6797,00
Clay, Missouri;249948,00
Clinton, Missouri;20387,00
Cole, Missouri;76745,00
Cooper, Missouri;17709,00
Crawford, Missouri;23920,00
Dade, Missouri;7561,00
Dallas, Missouri;16878,00
Daviess, Missouri;8278,00
DeKalb, Missouri;12547,00
Dent, Missouri;15573,00
Douglas, Missouri;13185,00
Dunklin, Missouri;29131,00
Franklin, Missouri;103967,00
Gasconade, Missouri;14706,00
Gentry, Missouri;6571,00
Greene, Missouri;293086,00
Grundy, Missouri;9850,00
Harrison, Missouri;8352,00
Henry, Missouri;21824,00
Hickory, Missouri;9544,00
Holt, Missouri;4403,00
Howard, Missouri;10001,00
Howell, Missouri;40117,00
Iron, Missouri;10125,00
Jackson, Missouri;703011,00
Jasper, Missouri;121328,00
Jefferson, Missouri;225081,00
Johnson, Missouri;54062,00
Knox, Missouri;3959,00
Laclede, Missouri;35723,00
Lafayette, Missouri;32708,00
Lawrence, Missouri;38355,00
Lewis, Missouri;9776,00
Lincoln, Missouri;59013,00
Linn, Missouri;11920,00
Livingston, Missouri;15227,00
McDonald, Missouri;22837,00
Macon, Missouri;15117,00
Madison, Missouri;12088,00
Maries, Missouri;8697,00
Marion, Missouri;28530,00
Mercer, Missouri;3617,00
Miller, Missouri;25619,00
Mississippi, Missouri;13180,00
Moniteau, Missouri;16132,00
Monroe, Missouri;8644,00
Montgomery, Missouri;11551,00
Morgan, Missouri;20627,00
New Madrid, Missouri;17076,00
Newton, Missouri;58236,00
Nodaway, Missouri;22092,00
Oregon, Missouri;10529,00
Osage, Missouri;13615,00
Ozark, Missouri;9174,00
Pemiscot, Missouri;15805,00
Perry, Missouri;19136,00
Pettis, Missouri;42339,00
Phelps, Missouri;44573,00
Pike, Missouri;18302,00
Platte, Missouri;104418,00
Polk, Missouri;32149,00
Pulaski, Missouri;52607,00
Putnam, Missouri;4696,00
Ralls, Missouri;10309,00
Randolph, Missouri;24748,00
Ray, Missouri;23018,00
Reynolds, Missouri;6270,00
Ripley, Missouri;13288,00
St Charles, Missouri;402022,00
St Clair, Missouri;9397,00
Ste Genevieve, Missouri;17894,00
St Francois, Missouri;67215,00
St Louis, Missouri;994205,00
Saline, Missouri;22761,00
Schuyler, Missouri;4660,00
Scotland, Missouri;4902,00
Scott, Missouri;38280,00
Shannon, Missouri;8166,00
Shelby, Missouri;5930,00
